-0.100000	3.063537		0.001176	
0.700000	2.190499		0.005102	
1.500000	1.849384		0.009052	
2.300000	1.738259		0.010911	
3.100000	1.529671		0.015494	
3.900000	1.487297		0.016638	
4.700000	2.006206		0.006954	
5.500000	1.474151		0.017010	
6.300000	1.521498		0.015708	
7.100000	1.848177		0.009071	
7.900000	1.918465		0.008060	
8.700000	2.118434		0.005759	
9.500000	1.800128		0.009834	
10.300000	1.606618		0.013614	
11.100000	0.842864		0.049155	
11.900000	0.464237		0.092895	
12.700000	0.478907		0.090632	
13.500000	0.020586		0.195831	
14.300000	0.000000		0.202726	
15.100000	0.418900		0.100251	
15.900000	0.859638		0.047789	
16.700000	1.225257		0.025847	
17.500000	1.664252		0.012357	
18.300000	2.321459		0.004094	
19.100000	3.120259		0.001069	
19.900000	3.799469		0.000341	
20.700000	3.588819		0.000486	
21.500000	3.736485		0.000379	
22.300000	3.668593		0.000425	
23.100000	3.607424		0.000471	
23.900000	3.585022		0.000489	
24.700000	3.526666		0.000540	
25.500000	3.487463		0.000577	
26.300000	3.395257		0.000673	
27.100000	3.329945		0.000751	
27.900000	3.308833		0.000779	
28.700000	3.145756		0.001024	
29.500000	3.159848		0.001000	
30.300000	3.078008		0.001148	
31.100000	2.920645		0.001495	
31.900000	2.927650		0.001478	
32.700000	2.867781		0.001634	
33.500000	2.858568		0.001660	
34.300000	2.777539		0.001902	
35.100000	2.745270		0.002008	
35.900000	2.699261		0.002169	
36.700000	2.656089		0.002332	
37.500000	2.546283		0.002805	
38.300000	2.541344		0.002829	
39.100000	2.401733		0.003577	
